"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"14:34:21.2576953","EXCEL.EXE","7364","RegQueryValue","HKCU\SOFTWARE\Microsoft\Office\Common\UserInfo\Company","BUFFER OVERFLOW","Length: 12"
"14:34:21.2577031","EXCEL.EXE","7364","RegQueryValue","HKCU\SOFTWARE\Microsoft\Office\Common\UserInfo\Company","SUCCESS","Type: REG_SZ, Length: 2, Data: "
"14:34:21.2577280","EXCEL.EXE","7364","RegQueryValue","HKCU\SOFTWARE\Microsoft\Office\16.0\Common\SaveThumbnails","NAME NOT FOUND","Length: 16"
"14:34:21.2582641","EXCEL.EXE","7364","FileSystemControl","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Control: FSCTL_SET_COMPRESSION"
"14:34:21.2582865","EXCEL.EXE","7364","SetEndOfFileInformationFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","EndOfFile: 327,680"
"14:34:21.2583547","EXCEL.EXE","7364","SetAllocationInformationFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","AllocationSize: 327,680"
"14:34:21.2583749","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 569, Length: 446, Priority: Normal"
"14:34:21.2584093","EXCEL.EXE","7364","ReadFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 0, Length: 32,768, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"14:34:21.2584320","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 1,015, Length: 2"
"14:34:21.2584420","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 0, Length: 569"
"14:34:21.2584556","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 1,578, Length: 245, Priority: Normal"
"14:34:21.2584697","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 1,823, Length: 2"
"14:34:21.2584766","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 1,017, Length: 561"
"14:34:21.2584886","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 1,870, Length: 414, Priority: Normal"
"14:34:21.2584957","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 2,284, Length: 2"
"14:34:21.2585019","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 1,825, Length: 45"
"14:34:21.2585145","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 2,606, Length: 289, Priority: Normal"
"14:34:21.2585246","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 2,895, Length: 2"
"14:34:21.2585309","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 2,286, Length: 320"
"14:34:21.2585437","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 2,951, Length: 702, Priority: Normal"
"14:34:21.2585510","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 3,653, Length: 2"
"14:34:21.2585578","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 2,897, Length: 54"
"14:34:21.2585691","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 3,709, Length: 203, Priority: Normal"
"14:34:21.2585757","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 3,912, Length: 2"
"14:34:21.2585815","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 3,655, Length: 54"
"14:34:21.2585949","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 3,963, Length: 1,919, Priority: Normal"
"14:34:21.2586041","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 5,882, Length: 2"
"14:34:21.2586108","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 3,914, Length: 49"
"14:34:21.2586231","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 5,927, Length: 356, Priority: Normal"
"14:34:21.2586305","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 6,283, Length: 2"
"14:34:21.2586363","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 5,884, Length: 43"
"14:34:21.2586484","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 6,335, Length: 562, Priority: Normal"
"14:34:21.2586551","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 6,897, Length: 2"
"14:34:21.2586609","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 6,285, Length: 50"
"14:34:21.2586734","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 6,953, Length: 738, Priority: Normal"
"14:34:21.2586805","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 7,691, Length: 2"
"14:34:21.2586866","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 6,899, Length: 54"
"14:34:21.2590936","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 7,740, Length: 4,096, Priority: Normal"
"14:34:21.2591498","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Roaming\Microsoft\Excel\~ar1007.xar","SUCCESS","Offset: 11,836, Length: 4,096"
